,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",9686544,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"Todo De Ti","Rauw Alejandro",6595560,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
3,Yonaguni,"Bad Bunny",6361827,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
4,"MONTERO (Call Me By Your Name)","Lil Nas X",5503340,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,"Kiss Me More (feat. SZA)","Doja Cat",5135036,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,"deja vu","Olivia Rodrigo",4574899,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
7,Butter,BTS,4481913,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
8,"Solar Power",Lorde,4250085,https://open.spotify.com/track/3KdoeNlEN0BoAKWzaRLNZa
9,"Levitating (feat. DaBaby)","Dua Lipa",4198904,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
10,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",4150501,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
11,traitor,"Olivia Rodrigo",3637015,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
12,"drivers license","Olivia Rodrigo",3489358,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
13,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3302329,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
14,RAPSTAR,"Polo G",3190896,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
15,"I WANNA BE YOUR SLAVE",Måneskin,3190111,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
16,happier,"Olivia Rodrigo",3116093,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
17,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3090053,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
18,"Astronaut In The Ocean","Masked Wolf",3060158,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
19,Fiel,"Los Legendarios",3016826,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
20,"Leave The Door Open","Bruno Mars",3013315,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
21,"favorite crime","Olivia Rodrigo",2914957,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
22,"Pareja Del Año","Sebastian Yatra",2906237,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
23,"Having Our Way (feat. Drake)",Migos,2738904,https://open.spotify.com/track/2NM0qHzx4Ohy8iXHEEgwlO
24,"Build a Bitch","Bella Poarch",2594676,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
25,"Qué Más Pues?","J Balvin",2550706,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
26,"Blinding Lights","The Weeknd",2530813,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
27,"Lost Cause","Billie Eilish",2439825,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
28,brutal,"Olivia Rodrigo",2406718,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
29,AM,"Nio Garcia",2401843,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
30,"ZITTI E BUONI",Måneskin,2399443,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
31,DÁKITI,"Bad Bunny",2234984,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
32,2/Catorce,"Rauw Alejandro",2116556,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
33,"jealousy, jealousy","Olivia Rodrigo",2113703,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
34,"No Return (with The Kid LAROI & Lil Durk)","Polo G",2093586,https://open.spotify.com/track/23OYT3SFtoJqhiAUqktbc1
35,"Need To Know","Doja Cat",2048556,https://open.spotify.com/track/10hcDov7xmcRviA8jLwEaI
36,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",2035906,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
37,"The Business",Tiësto,2029605,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
38,Dynamite,BTS,2008873,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
39,"Watermelon Sugar","Harry Styles",1955060,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
40,"enough for you","Olivia Rodrigo",1916033,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
41,Beggin',Måneskin,1873523,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
42,"EL MAKINON","KAROL G",1858755,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
43,telepatía,"Kali Uchis",1832774,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
44,Avalanche,Migos,1825571,https://open.spotify.com/track/4KD0lLJ4OGonZhBeKtct9I
45,"Your Love (9PM)",ATB,1820224,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
46,"Heartbreak Anniversary",Giveon,1817843,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
47,"Save Your Tears","The Weeknd",1794502,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
48,"Botella Tras Botella","Gera MX",1791738,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
